,key,color
0,MYdp,#A98EBE
1,LSX_HY_MB_HB,#D3D3FC
2,CB_1,#FAF9D5
3,CB_2,#D0C831
4,FbTrt,#000080
5,L1_HPFmo_Mngs,#8FBC8F
6,Hbl_VS,#696969
7,CTX_1,#2DB72D
8,OB_1,#FFC388
9,HY,#C4B0D4
10,HPF_CA,#FF00FF
11,TH,#ED9EA9
12,DG,#8B008B
13,STR,#87CEFA
14,CTX_2,#028182
15,OB_2,#B8722E
16,ENTm,#2E8B57
