tissue_main,n_cells
CTX_1,2843997
LSX_HY_MB_HB,2325850
STR,827030
FbTrt,671689
CTX_2,649565
CB_1,595774
L1_HPFmo_Mngs,464554
OB_1,461569
TH,364110
CB_2,343948
OB_2,321611
Hbl_VS,193214
HPF_CA,145766
DG,118759
MYdp,49044
HY,17988
ENTm,10725
