index,tissue_main,tissue_sub
2440509,L1_HPFmo_Mngs,HY_1
2440524,L1_HPFmo_Mngs,FT_2
2440860,TH,TH_5_1
2647012,LSX_HY_MB_HB,CNU_8_1
2664302,LSX_HY_MB_HB,CNU_8_2
2753612,STR,CNU_6_1
2754206,CTX_2,CNU_9_1
2860404,CTX_2,CTX_B_3_3
2869136,OB_1,OB_2_1
2909103,STR,CNU_6_2
3106450,OB_1,OB_3
3228396,CTX_2,CTX_B_3_1
3391903,CTX_2,CTX_B_5_1
3478579,CTX_2,CTX_B_4
3693459,OB_2,OB_4_1
3693472,OB_2,OB_5
3693490,OB_2,MNG_1
3696086,OB_2,OB_4_2
3731037,CTX_2,CTX_B_2_2
3762029,OB_2,FT_4
3772368,LSX_HY_MB_HB,CTX_B_2_2
3869053,CTX_1,MNG_1
3874822,CTX_1,OB_2_2
3962452,LSX_HY_MB_HB,OB_5
3981000,LSX_HY_MB_HB,CTX_B_3_1
3981061,LSX_HY_MB_HB,CTX_A_2
3981277,LSX_HY_MB_HB,CTX_B_2_1
3982313,LSX_HY_MB_HB,CTX_B_10
3982413,LSX_HY_MB_HB,OB_1
3987320,LSX_HY_MB_HB,OB_2_2
4705566,LSX_HY_MB_HB,TH_9
4709204,LSX_HY_MB_HB,TH_8
4756174,STR,FT_1
5209177,Hbl_VS,MB_P_MY_10
5209697,Hbl_VS,CNU_11_2
5446553,Hbl_VS,MB_P_MY_18
6163503,TH,MB_P_MY_1
6182937,CTX_2,CTX_A_6
6184128,CTX_2,CTX_A_1
6532397,TH,CB_2
6532421,TH,CB_3
6686231,TH,MB_P_MY_9
6898398,Hbl_VS,CBX_4
6901339,Hbl_VS,MB_P_MY_3
6950289,Hbl_VS,HY_11
7517503,LSX_HY_MB_HB,MNG_1
8406533,L1_HPFmo_Mngs,CNU_1
8406539,L1_HPFmo_Mngs,CNU_5
8406543,L1_HPFmo_Mngs,CNU_2
9126773,CTX_1,OB_5
9728084,CTX_2,MNG_1
17013781,TH,CTX_B_7
17016742,TH,CTX_B_5_3
17660454,OB_2,MB_P_MY_4
17660509,OB_2,FT_2
18359374,L1_HPFmo_Mngs,HY_11
18522446,L1_HPFmo_Mngs,MB_P_MY_13
15144500,Hbl_VS,MB_P_MY_16
15281566,CTX_1,OB_4_1
15670659,Hbl_VS,HY_2
15682111,LSX_HY_MB_HB,CTX_B_11
15682112,LSX_HY_MB_HB,CTX_B_8_3
