index,main_STARmap,sub_STARmap
207943,Telencephalon projecting excitatory neurons,TEGLU_3
218226,Telencephalon inhibitory interneurons,TEINH_5
238385,Di- and mesencephalon excitatory neurons,DEGLU_6
252295,Cholinergic and monoaminergic neurons,DOP_1
255068,Peptidergic neurons,INH_1
266093,Telencephalon inhibitory interneurons,TEINH_25
266128,Telencephalon inhibitory interneurons,TEINH_7
266200,Telencephalon inhibitory interneurons,TEINH_34
267642,Telencephalon projecting inhibitory neurons,MSN_6
275032,Telencephalon projecting excitatory neurons,TEGLU_22
289722,Di- and mesencephalon excitatory neurons,DEGLU_1
321454,Telencephalon projecting inhibitory neurons,MSN_2
321521,Telencephalon projecting inhibitory neurons,MSN_7
331936,Non-glutamatergic neuroblasts,NGNBL_4
334407,Telencephalon projecting inhibitory neurons,MSN_8
334536,Telencephalon inhibitory interneurons,TEINH_3
335776,Telencephalon inhibitory interneurons,TEINH_2
336090,Telencephalon inhibitory interneurons,TEINH_14
353021,Olfactory inhibitory neurons,OBINH_4
353910,Telencephalon inhibitory interneurons,TEINH_18
361648,Subcommissural organ hypendymal cells,HYPEN
365019,Telencephalon projecting inhibitory neurons,MSN_14
377364,Telencephalon inhibitory interneurons,TEINH_13
378286,Telencephalon inhibitory interneurons,TEINH_27
378553,Telencephalon projecting excitatory neurons,TEGLU_17
383743,Telencephalon projecting excitatory neurons,TEGLU_18
383754,Telencephalon projecting excitatory neurons,TEGLU_13
384005,Telencephalon projecting excitatory neurons,TEGLU_30
385855,Telencephalon projecting excitatory neurons,TEGLU_4
405506,Di- and mesencephalon excitatory neurons,HABCHO_2
407088,Telencephalon projecting excitatory neurons,TEGLU_24
433427,Telencephalon projecting excitatory neurons,TEGLU_11
448193,Peptidergic neurons,PEP_20
448646,Telencephalon projecting inhibitory neurons,MSN_3
465997,Telencephalon projecting excitatory neurons,TEGLU_15
478361,Cholinergic and monoaminergic neurons,SER_2
707545,Telencephalon projecting inhibitory neurons,MSN_1
709543,Telencephalon projecting inhibitory neurons,MSN_9
711411,Telencephalon projecting excitatory neurons,TEGLU_26
713390,Telencephalon projecting excitatory neurons,TEGLU_10
713463,Telencephalon projecting excitatory neurons,TEGLU_19
724865,Olfactory inhibitory neurons,OBINH_5
734166,Glutamatergic neuroblasts,GNBL_5
780959,Telencephalon inhibitory interneurons,TEINH_8
787420,Olfactory inhibitory neurons,OBINH_2
790256,Telencephalon projecting inhibitory neurons,MSN_4
790993,Olfactory inhibitory neurons,OBINH_3
791999,Telencephalon projecting excitatory neurons,TEGLU_14
838846,Telencephalon inhibitory interneurons,TEINH_32
839777,Telencephalon inhibitory interneurons,TEINH_20
840787,Olfactory inhibitory neurons,OBINH_6
852264,Telencephalon projecting excitatory neurons,TEGLU_29
853152,Telencephalon projecting inhibitory neurons,MSN_11
855679,Telencephalon projecting excitatory neurons,TEGLU_2
888943,Olfactory inhibitory neurons,OBINH_7
892022,Telencephalon projecting excitatory neurons,TEGLU_12
896857,Telencephalon inhibitory interneurons,TEINH_24
899797,Telencephalon projecting excitatory neurons,TEGLU_16
900493,Telencephalon projecting excitatory neurons,TEGLU_28
912106,Telencephalon projecting excitatory neurons,TEGLU_37
912121,Telencephalon inhibitory interneurons,TEINH_11
912958,Telencephalon projecting excitatory neurons,TEGLU_9
925375,Telencephalon projecting excitatory neurons,TEGLU_35
991113,Telencephalon projecting inhibitory neurons,MSN_5
1013102,Telencephalon projecting excitatory neurons,TEGLU_23
1016068,Telencephalon projecting excitatory neurons,TEGLU_40
1025667,Telencephalon inhibitory interneurons,TEINH_1
1026959,Telencephalon inhibitory interneurons,TEINH_10
1052726,Telencephalon projecting excitatory neurons,TEGLU_6
1300677,Telencephalon projecting excitatory neurons,TEGLU_5
1572226,Telencephalon projecting inhibitory neurons,MSN_12
2021460,Telencephalon projecting excitatory neurons,TEGLU_39
3834239,Olfactory inhibitory neurons,OBINH_1
